# Reference nova thermodynamic trajectory
# Reconstructed from the description in the proposal; see
# src/thermodynamics.py for the parameterisation.
# time[s]  T9  rho[g/cm^3]
0.00000000e+00 9.10000000e-02 2.21000000e+04
1.00000000e-05 9.10000000e-02 2.21000000e+04
1.00722417e-05 9.10000000e-02 2.21000000e+04
1.01450054e-05 9.10000000e-02 2.21000000e+04
1.02182947e-05 9.10000000e-02 2.21000000e+04
1.02921134e-05 9.10000000e-02 2.21000000e+04
1.03664654e-05 9.10000000e-02 2.21000000e+04
1.04413546e-05 9.10000000e-02 2.21000000e+04
1.05167847e-05 9.10000000e-02 2.21000000e+04
1.05927598e-05 9.10000000e-02 2.21000000e+04
1.06692838e-05 9.10000000e-02 2.21000000e+04
1.07463605e-05 9.10000000e-02 2.21000000e+04
1.08239941e-05 9.10000000e-02 2.21000000e+04
1.09021885e-05 9.10000000e-02 2.21000000e+04
1.09809479e-05 9.10000000e-02 2.21000000e+04
1.10602761e-05 9.10000000e-02 2.21000000e+04
1.11401775e-05 9.10000000e-02 2.21000000e+04
1.12206561e-05 9.10000000e-02 2.21000000e+04
1.13017161e-05 9.10000000e-02 2.21000000e+04
1.13833616e-05 9.10000000e-02 2.21000000e+04
1.14655970e-05 9.10000000e-02 2.21000000e+04
1.15484265e-05 9.10000000e-02 2.21000000e+04
1.16318543e-05 9.10000000e-02 2.21000000e+04
1.17158849e-05 9.10000000e-02 2.21000000e+04
1.18005225e-05 9.10000000e-02 2.21000000e+04
1.18857715e-05 9.10000000e-02 2.21000000e+04
1.19716364e-05 9.10000000e-02 2.21000000e+04
1.20581216e-05 9.10000000e-02 2.21000000e+04
1.21452316e-05 9.10000000e-02 2.21000000e+04
1.22329708e-05 9.10000000e-02 2.21000000e+04
1.23213439e-05 9.10000000e-02 2.21000000e+04
1.24103555e-05 9.10000000e-02 2.21000000e+04
1.25000100e-05 9.10000000e-02 2.21000000e+04
1.25903123e-05 9.10000000e-02 2.21000000e+04
1.26812669e-05 9.10000000e-02 2.21000000e+04
1.27728786e-05 9.10000000e-02 2.21000000e+04
1.28651521e-05 9.10000000e-02 2.21000000e+04
1.29580922e-05 9.10000000e-02 2.21000000e+04
1.30517037e-05 9.10000000e-02 2.21000000e+04
1.31459915e-05 9.10000000e-02 2.21000000e+04
1.32409604e-05 9.10000000e-02 2.21000000e+04
1.33366154e-05 9.10000000e-02 2.21000000e+04
1.34329615e-05 9.10000000e-02 2.21000000e+04
1.35300035e-05 9.10000000e-02 2.21000000e+04
1.36277466e-05 9.10000000e-02 2.21000000e+04
1.37261958e-05 9.10000000e-02 2.21000000e+04
1.38253563e-05 9.10000000e-02 2.21000000e+04
1.39252331e-05 9.10000000e-02 2.21000000e+04
1.40258314e-05 9.10000000e-02 2.21000000e+04
1.41271564e-05 9.10000000e-02 2.21000000e+04
1.42292135e-05 9.10000000e-02 2.21000000e+04
1.43320078e-05 9.10000000e-02 2.21000000e+04
1.44355447e-05 9.10000000e-02 2.21000000e+04
1.45398296e-05 9.10000000e-02 2.21000000e+04
1.46448679e-05 9.10000000e-02 2.21000000e+04
1.47506649e-05 9.10000000e-02 2.21000000e+04
1.48572263e-05 9.10000000e-02 2.21000000e+04
1.49645575e-05 9.10000000e-02 2.21000000e+04
1.50726641e-05 9.10000000e-02 2.21000000e+04
1.51815516e-05 9.10000000e-02 2.21000000e+04
1.52912258e-05 9.10000000e-02 2.21000000e+04
1.54016923e-05 9.10000000e-02 2.21000000e+04
1.55129568e-05 9.10000000e-02 2.21000000e+04
1.56250251e-05 9.10000000e-02 2.21000000e+04
1.57379030e-05 9.10000000e-02 2.21000000e+04
1.58515964e-05 9.10000000e-02 2.21000000e+04
1.59661111e-05 9.10000000e-02 2.21000000e+04
1.60814530e-05 9.10000000e-02 2.21000000e+04
1.61976283e-05 9.10000000e-02 2.21000000e+04
1.63146427e-05 9.10000000e-02 2.21000000e+04
1.64325026e-05 9.10000000e-02 2.21000000e+04
1.65512138e-05 9.10000000e-02 2.21000000e+04
1.66707827e-05 9.10000000e-02 2.21000000e+04
1.67912153e-05 9.10000000e-02 2.21000000e+04
1.69125180e-05 9.10000000e-02 2.21000000e+04
1.70346970e-05 9.10000000e-02 2.21000000e+04
1.71577586e-05 9.10000000e-02 2.21000000e+04
1.72817092e-05 9.10000000e-02 2.21000000e+04
1.74065553e-05 9.10000000e-02 2.21000000e+04
1.75323033e-05 9.10000000e-02 2.21000000e+04
1.76589597e-05 9.10000000e-02 2.21000000e+04
1.77865311e-05 9.10000000e-02 2.21000000e+04
1.79150241e-05 9.10000000e-02 2.21000000e+04
1.80444454e-05 9.10000000e-02 2.21000000e+04
1.81748016e-05 9.10000000e-02 2.21000000e+04
1.83060995e-05 9.10000000e-02 2.21000000e+04
1.84383460e-05 9.10000000e-02 2.21000000e+04
1.85715478e-05 9.10000000e-02 2.21000000e+04
1.87057119e-05 9.10000000e-02 2.21000000e+04
1.88408452e-05 9.10000000e-02 2.21000000e+04
1.89769548e-05 9.10000000e-02 2.21000000e+04
1.91140476e-05 9.10000000e-02 2.21000000e+04
1.92521308e-05 9.10000000e-02 2.21000000e+04
1.93912116e-05 9.10000000e-02 2.21000000e+04
1.95312971e-05 9.10000000e-02 2.21000000e+04
1.96723946e-05 9.10000000e-02 2.21000000e+04
1.98145114e-05 9.10000000e-02 2.21000000e+04
1.99576549e-05 9.10000000e-02 2.21000000e+04
2.01018324e-05 9.10000000e-02 2.21000000e+04
2.02470516e-05 9.10000000e-02 2.21000000e+04
2.03933198e-05 9.10000000e-02 2.21000000e+04
2.05406447e-05 9.10000000e-02 2.21000000e+04
2.06890339e-05 9.10000000e-02 2.21000000e+04
2.08384951e-05 9.10000000e-02 2.21000000e+04
2.09890360e-05 9.10000000e-02 2.21000000e+04
2.11406645e-05 9.10000000e-02 2.21000000e+04
2.12933883e-05 9.10000000e-02 2.21000000e+04
2.14472155e-05 9.10000000e-02 2.21000000e+04
2.16021539e-05 9.10000000e-02 2.21000000e+04
2.17582116e-05 9.10000000e-02 2.21000000e+04
2.19153967e-05 9.10000000e-02 2.21000000e+04
2.20737174e-05 9.10000000e-02 2.21000000e+04
2.22331818e-05 9.10000000e-02 2.21000000e+04
2.23937982e-05 9.10000000e-02 2.21000000e+04
2.25555749e-05 9.10000000e-02 2.21000000e+04
2.27185203e-05 9.10000000e-02 2.21000000e+04
2.28826428e-05 9.10000000e-02 2.21000000e+04
2.30479510e-05 9.10000000e-02 2.21000000e+04
2.32144534e-05 9.10000000e-02 2.21000000e+04
2.33821587e-05 9.10000000e-02 2.21000000e+04
2.35510755e-05 9.10000000e-02 2.21000000e+04
2.37212126e-05 9.10000000e-02 2.21000000e+04
2.38925787e-05 9.10000000e-02 2.21000000e+04
2.40651829e-05 9.10000000e-02 2.21000000e+04
2.42390340e-05 9.10000000e-02 2.21000000e+04
2.44141410e-05 9.10000000e-02 2.21000000e+04
2.45905130e-05 9.10000000e-02 2.21000000e+04
2.47681591e-05 9.10000000e-02 2.21000000e+04
2.49470886e-05 9.10000000e-02 2.21000000e+04
2.51273108e-05 9.10000000e-02 2.21000000e+04
2.53088348e-05 9.10000000e-02 2.21000000e+04
2.54916703e-05 9.10000000e-02 2.21000000e+04
2.56758265e-05 9.10000000e-02 2.21000000e+04
2.58613132e-05 9.10000000e-02 2.21000000e+04
2.60481398e-05 9.10000000e-02 2.21000000e+04
2.62363161e-05 9.10000000e-02 2.21000000e+04
2.64258518e-05 9.10000000e-02 2.21000000e+04
2.66167568e-05 9.10000000e-02 2.21000000e+04
2.68090409e-05 9.10000000e-02 2.21000000e+04
2.70027141e-05 9.10000000e-02 2.21000000e+04
2.71977864e-05 9.10000000e-02 2.21000000e+04
2.73942679e-05 9.10000000e-02 2.21000000e+04
2.75921689e-05 9.10000000e-02 2.21000000e+04
2.77914995e-05 9.10000000e-02 2.21000000e+04
2.79922702e-05 9.10000000e-02 2.21000000e+04
2.81944912e-05 9.10000000e-02 2.21000000e+04
2.83981731e-05 9.10000000e-02 2.21000000e+04
2.86033265e-05 9.10000000e-02 2.21000000e+04
2.88099619e-05 9.10000000e-02 2.21000000e+04
2.90180901e-05 9.10000000e-02 2.21000000e+04
2.92277218e-05 9.10000000e-02 2.21000000e+04
2.94388680e-05 9.10000000e-02 2.21000000e+04
2.96515395e-05 9.10000000e-02 2.21000000e+04
2.98657474e-05 9.10000000e-02 2.21000000e+04
3.00815028e-05 9.10000000e-02 2.21000000e+04
3.02988168e-05 9.10000000e-02 2.21000000e+04
3.05177007e-05 9.10000000e-02 2.21000000e+04
3.07381659e-05 9.10000000e-02 2.21000000e+04
3.09602238e-05 9.10000000e-02 2.21000000e+04
3.11838858e-05 9.10000000e-02 2.21000000e+04
3.14091637e-05 9.10000000e-02 2.21000000e+04
3.16360690e-05 9.10000000e-02 2.21000000e+04
3.18646134e-05 9.10000000e-02 2.21000000e+04
3.20948090e-05 9.10000000e-02 2.21000000e+04
