time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
0.00000000e+00,4.48100000e-01,4.06600000e+03,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,4.48100000e-01,4.06600000e+03,2.90527940e-03,7.12941059e-01,7.12941059e-01,6.91377866e-02,2.76551146e-01,1.90018716e-04,2.28022459e-03,2.13226001e-06,2.77193801e-05,5.23477657e-09,6.80520955e-08,5.71000861e-05,7.99401206e-04,1.64411731e-07,2.46617596e-06,2.25318791e-14,3.15446308e-13,1.47997322e-09,2.21995983e-08,3.62073887e-04,5.79318219e-03,1.37881636e-07,2.34398781e-06,7.19517411e-07,1.29513134e-05,5.37799434e-11,9.14259038e-10,1.07629381e-13,1.93732886e-12,7.17611355e-05,1.43522271e-03
1.07790740e-09,4.48100000e-01,4.06600000e+03,2.85398778e-03,7.12941055e-01,7.12941055e-01,6.91377906e-02,2.76551162e-01,1.90021843e-04,2.28026212e-03,2.13225225e-06,2.77192793e-05,5.64265362e-09,7.33544971e-08,5.70999813e-05,7.99399738e-04,1.61367376e-07,2.42051064e-06,2.61795977e-14,3.66514368e-13,1.59527262e-09,2.39290893e-08,3.62073883e-04,5.79318213e-03,1.37878933e-07,2.34394186e-06,7.19024417e-07,1.29424395e-05,5.79697984e-11,9.85486574e-10,1.16008901e-13,2.08816021e-12,7.17611355e-05,1.43522271e-03
1.16188436e-09,4.48100000e-01,4.06600000e+03,2.79997465e-03,7.12941050e-01,7.12941050e-01,6.91377949e-02,2.76551179e-01,1.90025140e-04,2.28030168e-03,2.13224389e-06,2.77191706e-05,6.08231444e-09,7.90700877e-08,5.70998683e-05,7.99398156e-04,1.58158629e-07,2.37237944e-06,3.04178630e-14,4.25850083e-13,1.71955446e-09,2.57933169e-08,3.62073879e-04,5.79318206e-03,1.37876019e-07,2.34389233e-06,7.18493393e-07,1.29328811e-05,6.24860741e-11,1.06226326e-09,1.25040340e-13,2.25072611e-12,7.17611355e-05,1.43522271e-03
1.25240375e-09,4.48100000e-01,4.06600000e+03,2.74320001e-03,7.12941045e-01,7.12941045e-01,6.91377994e-02,2.76551198e-01,1.90028612e-04,2.28034334e-03,2.13223488e-06,2.77190535e-05,6.55623617e-09,8.52310702e-08,5.70997464e-05,7.99396450e-04,1.54782507e-07,2.32173760e-06,3.53422843e-14,4.94791980e-13,1.85351850e-09,2.78027775e-08,3.62073874e-04,5.79318199e-03,1.37872879e-07,2.34383894e-06,7.17921438e-07,1.29225859e-05,6.73542009e-11,1.14502142e-09,1.34774341e-13,2.42593813e-12,7.17611355e-05,1.43522271e-03
1.34997528e-09,4.48100000e-01,4.06600000e+03,2.68364099e-03,7.12941039e-01,7.12941039e-01,6.91378042e-02,2.76551217e-01,1.90032259e-04,2.28038711e-03,2.13222517e-06,2.77189272e-05,7.06708907e-09,9.18721578e-08,5.70996151e-05,7.99394612e-04,1.51236949e-07,2.26855423e-06,4.10639501e-14,5.74895302e-13,1.99791901e-09,2.99687852e-08,3.62073870e-04,5.79318191e-03,1.37869494e-07,2.34378140e-06,7.17305434e-07,1.29114978e-05,7.26015907e-11,1.23422704e-09,1.45265468e-13,2.61477842e-12,7.17611355e-05,1.43522271e-03
1.45514834e-09,4.48100000e-01,4.06600000e+03,2.62129483e-03,7.12941034e-01,7.12941034e-01,6.91378092e-02,2.76551237e-01,1.90036085e-04,2.28043302e-03,2.13221470e-06,2.77187911e-05,7.61775153e-09,9.90307698e-08,5.70994736e-05,7.99392630e-04,1.47520986e-07,2.21281479e-06,4.77119355e-14,6.67967097e-13,2.15356902e-09,3.23035353e-08,3.62073864e-04,5.79318183e-03,1.37865845e-07,2.34371937e-06,7.16642030e-07,1.28995565e-05,7.82577908e-11,1.33038244e-09,1.56572509e-13,2.81830517e-12,7.17611355e-05,1.43522271e-03
1.56851516e-09,4.48100000e-01,4.06600000e+03,2.55618210e-03,7.12941028e-01,7.12941028e-01,6.91378145e-02,2.76551258e-01,1.90040088e-04,2.28048106e-03,2.13220341e-06,2.77186444e-05,8.21132633e-09,1.06747242e-07,5.70993210e-05,7.99390494e-04,1.43634918e-07,2.15452377e-06,5.54362132e-14,7.76106985e-13,2.32134488e-09,3.48201732e-08,3.62073859e-04,5.79318174e-03,1.37861912e-07,2.34365251e-06,7.15927629e-07,1.28866973e-05,8.43546507e-11,1.43402906e-09,1.68758800e-13,3.03765840e-12,7.17611355e-05,1.43522271e-03
1.69071410e-09,4.48100000e-01,4.06600000e+03,2.48835012e-03,7.12941021e-01,7.12941021e-01,6.91378201e-02,2.76551280e-01,1.90044268e-04,2.28053122e-03,2.13219125e-06,2.77184862e-05,8.85115814e-09,1.15065056e-07,5.70991565e-05,7.99388192e-04,1.39580502e-07,2.09370753e-06,6.44110380e-14,9.01754532e-13,2.50219122e-09,3.75328683e-08,3.62073853e-04,5.79318164e-03,1.37857673e-07,2.34358044e-06,7.15158368e-07,1.28728506e-05,9.09265008e-11,1.54575051e-09,1.81892574e-13,3.27406633e-12,7.17611355e-05,1.43522271e-03
1.82243324e-09,4.48100000e-01,4.06600000e+03,2.41787639e-03,7.12941014e-01,7.12941014e-01,6.91378260e-02,2.76551304e-01,1.90048622e-04,2.28058346e-03,2.13217814e-06,2.77183158e-05,9.54085231e-09,1.24031080e-07,5.70989793e-05,7.99385710e-04,1.35361148e-07,2.03041722e-06,7.48388781e-14,1.04774429e-12,2.69712625e-09,4.04568937e-08,3.62073846e-04,5.79318154e-03,1.37853104e-07,2.34350277e-06,7.14330102e-07,1.28579418e-05,9.80103465e-11,1.66617589e-09,1.96047335e-13,3.52885203e-12,7.17611355e-05,1.43522271e-03
