time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,4.18000000e-01,1.50000000e+04,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,4.17999999e-01,1.49999999e+04,2.21481555e-03,7.12940987e-01,7.12940987e-01,6.91378510e-02,2.76551404e-01,1.90066119e-04,2.28079343e-03,2.13216303e-06,2.77181194e-05,1.09021077e-08,1.41727399e-07,5.70979524e-05,7.99371334e-04,1.22723767e-07,1.84085650e-06,8.71866913e-14,1.22061368e-12,3.73766610e-09,5.60649915e-08,3.62073821e-04,5.79318113e-03,1.37854560e-07,2.34352753e-06,7.08070737e-07,1.27452733e-05,1.26257782e-10,2.14638229e-09,1.84761972e-13,3.32571550e-12,3.13486642e-18,5.64275956e-17,7.17611355e-05,1.43522271e-03
1.07790740e-09,4.17999999e-01,1.49999999e+04,2.13721642e-03,7.12940978e-01,7.12940978e-01,6.91378585e-02,2.76551434e-01,1.90071353e-04,2.28085624e-03,2.13214772e-06,2.77179204e-05,1.17516561e-08,1.52771529e-07,5.70976813e-05,7.99367539e-04,1.18001254e-07,1.77001881e-06,1.01302089e-13,1.41822925e-12,4.02884837e-09,6.04327256e-08,3.62073812e-04,5.79318099e-03,1.37849749e-07,2.34344573e-06,7.06702095e-07,1.27206377e-05,1.36094194e-10,2.31360130e-09,1.99136836e-13,3.58446305e-12,3.64235219e-18,6.55623394e-17,7.17611355e-05,1.43522271e-03
1.16188436e-09,4.17999999e-01,1.49999999e+04,2.05808141e-03,7.12940969e-01,7.12940969e-01,6.91378663e-02,2.76551465e-01,1.90076735e-04,2.28092082e-03,2.13213122e-06,2.77177059e-05,1.26674150e-08,1.64676395e-07,5.70973891e-05,7.99363448e-04,1.13168361e-07,1.69752541e-06,1.17702825e-13,1.64783955e-12,4.34271435e-09,6.51407152e-08,3.62073802e-04,5.79318083e-03,1.37844562e-07,2.34335756e-06,7.05229788e-07,1.26941362e-05,1.46696936e-10,2.49384791e-09,2.14628460e-13,3.86331227e-12,4.23199194e-18,7.61758550e-17,7.17611355e-05,1.43522271e-03
1.25240375e-09,4.17999999e-01,1.49999999e+04,1.97774282e-03,7.12940960e-01,7.12940960e-01,6.91378744e-02,2.76551497e-01,1.90082249e-04,2.28098699e-03,2.13211343e-06,2.77174746e-05,1.36545452e-08,1.77509087e-07,5.70970742e-05,7.99359038e-04,1.08242298e-07,1.62363447e-06,1.36758918e-13,1.91462485e-12,4.68103101e-09,7.02154651e-08,3.62073791e-04,5.79318066e-03,1.37838972e-07,2.34326253e-06,7.03646213e-07,1.26656318e-05,1.58125709e-10,2.68813705e-09,2.31323339e-13,4.16382010e-12,4.91708513e-18,8.85075323e-17,7.17611355e-05,1.43522271e-03
1.34997528e-09,4.17999999e-01,1.49999999e+04,1.89658104e-03,7.12940950e-01,7.12940950e-01,6.91378827e-02,2.76551531e-01,1.90087878e-04,2.28105454e-03,2.13209426e-06,2.77172253e-05,1.47186097e-08,1.91341927e-07,5.70967347e-05,7.99354286e-04,1.03242882e-07,1.54864323e-06,1.58900300e-13,2.22460420e-12,5.04570294e-09,7.56855442e-08,3.62073780e-04,5.79318048e-03,1.37832947e-07,2.34316010e-06,7.01943248e-07,1.26349785e-05,1.70444867e-10,2.89756274e-09,2.49314625e-13,4.48766324e-12,5.71308416e-18,1.02835515e-16,7.17611355e-05,1.43522271e-03
1.45514834e-09,4.17999999e-01,1.49999999e+04,1.81502418e-03,7.12940940e-01,7.12940940e-01,6.91378914e-02,2.76551566e-01,1.90093603e-04,2.28112323e-03,2.13207359e-06,2.77169567e-05,1.58656052e-08,2.06252867e-07,5.70963687e-05,7.99349162e-04,9.81925071e-08,1.47288761e-06,1.84626513e-13,2.58477119e-12,5.43878309e-09,8.15817464e-08,3.62073768e-04,5.79318028e-03,1.37826452e-07,2.34304969e-06,7.00112224e-07,1.26020200e-05,1.83723778e-10,3.12330423e-09,2.68702630e-13,4.83664735e-12,6.63794294e-18,1.19482973e-16,7.17611355e-05,1.43522271e-03
1.56851516e-09,4.17999999e-01,1.49999999e+04,1.73354653e-03,7.12940929e-01,7.12940929e-01,6.91379004e-02,2.76551602e-01,1.90099401e-04,2.28119281e-03,2.13205131e-06,2.77166670e-05,1.71019954e-08,2.22325940e-07,5.70959743e-05,7.99343640e-04,9.31160439e-08,1.39674066e-06,2.14517987e-13,3.00325181e-12,5.86248427e-09,8.79372641e-08,3.62073754e-04,5.79318007e-03,1.37819452e-07,2.34293069e-06,6.98143898e-07,1.25665902e-05,1.98037214e-10,3.36663264e-09,2.89595373e-13,5.21271671e-12,7.71252184e-18,1.38825393e-16,7.17611355e-05,1.43522271e-03
1.69071410e-09,4.17999999e-01,1.49999999e+04,1.65266534e-03,7.12940918e-01,7.12940918e-01,6.91379097e-02,2.76551639e-01,1.90105248e-04,2.28126298e-03,2.13202730e-06,2.77163549e-05,1.84347478e-08,2.39651721e-07,5.70955491e-05,7.99337688e-04,8.80406439e-08,1.32060966e-06,2.49249127e-13,3.48948778e-12,6.31919163e-09,9.47878744e-08,3.62073740e-04,5.79317984e-03,1.37811907e-07,2.34280242e-06,6.96028423e-07,1.25285116e-05,2.13465771e-10,3.62891811e-09,3.12109156e-13,5.61796482e-12,8.96105821e-18,1.61299048e-16,7.17611355e-05,1.43522271e-03
1.82243324e-09,4.17999999e-01,1.49999999e+04,1.57293602e-03,7.12940906e-01,7.12940906e-01,6.91379193e-02,2.76551677e-01,1.90111118e-04,2.28133341e-03,2.13200141e-06,2.77160184e-05,1.98713729e-08,2.58327847e-07,5.70950908e-05,7.99331272e-04,8.29954492e-08,1.24493174e-06,2.89603541e-13,4.05444958e-12,6.81147606e-09,1.02172141e-07,3.62073724e-04,5.79317959e-03,1.37803775e-07,2.34266417e-06,6.93755314e-07,1.24875957e-05,2.30096326e-10,3.91163755e-09,3.36369196e-13,6.05464553e-12,1.04117130e-17,1.87410834e-16,7.17611355e-05,1.43522271e-03
