time,t9,rho,b10,b11,b12,b13,b14,b8,be10,be11,be12,be7,be9,c10,c11,c12,c13,c14,c15,c16,c9,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,h1,h2,h3,he3,he4,he6,li6,li7,li8,li9,n,n11,n12,n13,n14,n15,n16,n17,n18,ne16,ne17,ne18,ne19,ne20,ne21,ne22,ne23,ne24,ne25,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21
0.00000000e+00,2.00000000e-01,1.50000000e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.89972106e-04,2.13235956e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.12941125e-01,0.00000000e+00,0.00000000e+00,1.14787684e-05,6.91377283e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.71014320e-05,2.09931735e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.71411363e-07,5.27977883e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,1.37916336e-07,7.25875455e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-09,2.00000000e-01,1.49999999e+04,1.58279025e-35,9.72811660e-37,1.47054448e-57,3.96517408e-79,4.94416080e-103,5.28869623e-21,1.18441862e-51,8.42042481e-74,4.20957867e-96,5.63180398e-14,3.56253882e-30,7.69466120e-61,2.33664760e-27,1.89972303e-04,2.13235888e-06,8.34182562e-24,1.48953618e-45,2.58886151e-68,8.27369384e-29,0.00000000e+00,3.63864547e-64,1.89951744e-33,4.70726990e-13,2.15128381e-16,3.51263203e-12,5.46775295e-31,4.11231079e-50,1.73349968e-73,8.93446176e-97,7.12941124e-01,1.20163886e-20,3.02676085e-21,1.14787681e-05,6.91377292e-02,1.59416361e-72,1.02167988e-30,2.28579711e-27,2.46718578e-48,1.19949108e-69,5.86118389e-20,0.00000000e+00,2.84023513e-36,1.96074482e-11,5.71014280e-05,2.10332658e-07,4.92140603e-29,2.88698724e-51,2.76874873e-74,7.08087032e-209,1.26151698e-229,1.38260174e-23,4.97433150e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,1.92407613e-26,4.77398090e-48,7.75733274e-70,9.26282932e-250,7.92781157e-44,2.36770758e-19,4.73939550e-12,3.62073935e-04,1.37916229e-07,7.25253819e-07,2.47076223e-28,2.22734929e-48,8.95681906e-71
1.06553795e-09,2.00000000e-01,1.49999999e+04,1.88669296e-35,1.22000934e-36,2.04446447e-57,6.04738766e-79,8.09202477e-103,6.00463201e-21,1.48239163e-51,1.17995949e-73,6.49526215e-96,6.00090082e-14,3.96572046e-30,1.10254184e-60,2.65296249e-27,1.89972316e-04,2.13235884e-06,9.38183998e-24,1.88284392e-45,3.65690605e-68,1.00093408e-28,0.00000000e+00,4.40144675e-64,2.15629344e-33,5.01577472e-13,2.29227439e-16,3.74273698e-12,6.54529483e-31,5.52020557e-50,2.57717386e-73,1.44292163e-96,7.12941124e-01,1.35010540e-20,3.40396745e-21,1.14787681e-05,6.91377292e-02,1.88884889e-72,1.21214764e-30,2.74483871e-27,3.29758926e-48,1.77783157e-69,6.15760665e-20,0.00000000e+00,3.43605742e-36,2.08924809e-11,5.71014277e-05,2.10358901e-07,5.53538695e-29,3.64963014e-51,3.91128541e-74,9.67900541e-209,1.90073097e-229,1.56976609e-23,5.64771210e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.16395971e-26,6.03476071e-48,1.09579569e-69,1.19283816e-249,1.02091896e-43,2.68822687e-19,5.05000575e-12,3.62073935e-04,1.37916222e-07,7.25213097e-07,2.77869926e-28,2.81549553e-48,1.26520522e-70
1.13537112e-09,2.00000000e-01,1.49999999e+04,2.24672092e-35,1.53262929e-36,2.84400822e-57,9.22157370e-79,1.33587345e-102,6.81748461e-21,1.85274841e-51,1.64937814e-73,9.98754661e-96,6.39418752e-14,4.40914981e-30,1.57735954e-60,3.01209734e-27,1.89972330e-04,2.13235879e-06,1.05455748e-23,2.37814723e-45,5.15449564e-68,1.21090920e-28,0.00000000e+00,5.32411982e-64,2.44775329e-33,5.34449831e-13,2.44250519e-16,3.98790822e-12,7.82987450e-31,7.40230644e-50,3.82109124e-73,2.33214621e-96,7.12941124e-01,1.51615159e-20,3.82601479e-21,1.14787680e-05,6.91377293e-02,2.23499340e-72,1.43645560e-30,3.29448389e-27,4.40189230e-48,2.62715714e-69,6.46357811e-20,0.00000000e+00,4.15687157e-36,2.22617320e-11,5.71014275e-05,2.10386859e-07,6.22248776e-29,4.61016478e-51,5.51345984e-74,1.32283000e-208,2.85961163e-229,1.78226709e-23,6.41224893e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.43237991e-26,7.62257397e-48,1.54459543e-69,1.53639511e-249,1.31496063e-43,3.05213523e-19,5.38097276e-12,3.62073935e-04,1.37916214e-07,7.25169709e-07,3.12324772e-28,3.55617262e-48,1.78334648e-70
1.20978102e-09,2.00000000e-01,1.49999999e+04,2.67308531e-35,1.92735027e-36,3.98423832e-57,1.44875307e-78,2.37362719e-102,7.74037373e-21,2.30976633e-51,2.30844498e-73,1.57570696e-95,6.81324941e-14,4.89562639e-30,2.27580193e-60,3.41984875e-27,1.89972345e-04,2.13235874e-06,1.18465119e-23,2.99864924e-45,7.29239546e-68,1.46493297e-28,0.00000000e+00,6.44016034e-64,2.77857623e-33,5.69476577e-13,2.60258178e-16,4.24913124e-12,9.36080914e-31,9.91992973e-50,5.75236617e-73,3.97174933e-96,7.12941123e-01,1.70168824e-20,4.29778227e-21,1.14787680e-05,6.91377294e-02,2.64161935e-72,1.70057770e-30,3.95241560e-27,5.86724307e-48,3.93519855e-69,6.77876871e-20,0.00000000e+00,5.02889866e-36,2.37207212e-11,5.71014272e-05,2.10416645e-07,6.99069348e-29,5.81367008e-51,7.80100406e-74,1.81425263e-208,4.40088570e-229,2.02353458e-23,7.28028190e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.73244640e-26,9.61186141e-48,2.18532317e-69,1.97915190e-249,1.69390506e-43,3.46530629e-19,5.73363066e-12,3.62073935e-04,1.37916206e-07,7.25123479e-07,3.50839277e-28,4.48408637e-48,2.52303412e-70
1.28906759e-09,2.00000000e-01,1.49999999e+04,3.17683710e-35,2.42690143e-36,5.57532558e-57,2.24651267e-78,4.05269535e-102,8.78819509e-21,2.87488013e-51,3.22080457e-73,2.44921101e-95,7.25977575e-14,5.42836114e-30,3.27049455e-60,3.88279801e-27,1.89972360e-04,2.13235869e-06,1.32996344e-23,3.77767352e-45,1.02831518e-67,1.77224605e-28,0.00000000e+00,7.79007713e-64,3.15407159e-33,6.06798904e-13,2.77314943e-16,4.52745583e-12,1.11826372e-30,1.32777008e-49,8.58870010e-73,6.56607702e-96,7.12941123e-01,1.90883855e-20,4.82469175e-21,1.14787680e-05,6.91377294e-02,3.11757328e-72,2.01063137e-30,4.73920320e-27,7.80957485e-48,5.84849715e-69,7.10271744e-20,0.00000000e+00,6.08386056e-36,2.52753296e-11,5.71014269e-05,2.10448376e-07,7.84887897e-29,7.32485399e-51,1.10013977e-73,2.48617112e-208,6.70252465e-229,2.29746273e-23,8.26582140e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.06761509e-26,1.21095060e-47,3.08168513e-69,2.54989855e-249,2.18239293e-43,3.93440880e-19,6.10940104e-12,3.62073935e-04,1.37916198e-07,7.25074224e-07,3.93856306e-28,5.64907490e-48,3.55780792e-70
1.37355044e-09,2.00000000e-01,1.49999999e+04,3.77094211e-35,3.05958767e-36,7.78623664e-57,3.43555392e-78,6.68576562e-102,9.97786084e-21,3.57264760e-51,4.47845347e-73,3.75012482e-95,7.73556650e-14,6.01049010e-30,4.67752760e-60,4.40841733e-27,1.89972377e-04,2.13235863e-06,1.49212657e-23,4.75514838e-45,1.44459414e-67,2.14402761e-28,0.00000000e+00,9.42286151e-64,3.58026341e-33,6.46567260e-13,2.95489572e-16,4.82400030e-12,1.33480911e-30,1.77489249e-49,1.27081597e-72,1.05664334e-95,7.12941123e-01,2.13991525e-20,5.41264818e-21,1.14787680e-05,6.91377295e-02,3.67323595e-72,2.37377384e-30,5.67932773e-27,1.03803680e-47,8.61774072e-69,7.43486944e-20,0.00000000e+00,7.36013405e-36,2.69318241e-11,5.71014265e-05,2.10482181e-07,8.80671706e-29,9.22128170e-51,1.54563564e-73,3.40250324e-208,1.00927831e-228,2.60847284e-23,9.38477440e-26,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.44165100e-26,1.52435985e-47,4.32936088e-69,3.28570234e-249,2.81214930e-43,4.46701426e-19,6.50979864e-12,3.62073935e-04,1.37916189e-07,7.25021744e-07,4.41858221e-28,7.11085793e-48,4.99810469e-70
1.46357012e-09,2.00000000e-01,1.49999999e+04,4.47092280e-35,3.85997337e-36,1.08930389e-56,5.30249865e-78,1.13792410e-101,1.13285725e-20,4.42997085e-51,6.21415271e-73,5.76933815e-95,8.24253959e-14,6.64481104e-30,6.69967996e-60,5.00519046e-27,1.89972395e-04,2.13235857e-06,1.67290324e-23,5.97732001e-45,2.02764932e-67,2.59380181e-28,0.00000000e+00,1.13977615e-63,4.06398632e-33,6.88941952e-13,3.14855324e-16,5.13995591e-12,1.59202657e-30,2.36931083e-49,1.88480432e-72,1.72950026e-95,7.12941123e-01,2.39741546e-20,6.06802554e-21,1.14787680e-05,6.91377296e-02,4.32132486e-72,2.79866445e-30,6.80207993e-27,1.37710427e-47,1.27170094e-68,7.77459190e-20,0.00000000e+00,8.90414574e-36,2.86968819e-11,5.71014262e-05,2.10518194e-07,9.87465943e-29,1.15928429e-50,2.16969559e-73,4.66085001e-208,1.52940943e-228,2.96158473e-23,1.06552012e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.85861984e-26,1.91625377e-47,6.07699535e-69,4.23421812e-249,3.62396089e-43,5.07171915e-19,6.93643747e-12,3.62073935e-04,1.37916179e-07,7.24965828e-07,4.95365748e-28,8.93861207e-48,7.01546154e-70
1.55948950e-09,1.99999999e-01,1.49999999e+04,5.29443887e-35,4.87210352e-36,1.52636632e-56,8.22916238e-78,1.95920760e-101,1.28621311e-20,5.47950423e-51,8.60496130e-73,8.89552319e-95,8.78273865e-14,7.33407523e-30,9.60778014e-60,5.68274958e-27,1.89972414e-04,2.13235850e-06,1.87421497e-23,7.50202075e-45,2.84366181e-67,3.13792996e-28,0.00000000e+00,1.37864278e-63,4.61299427e-33,7.34093795e-13,3.35490265e-16,5.47659161e-12,1.89726140e-30,3.15829911e-49,2.79947255e-72,2.85053146e-95,7.12941123e-01,2.68406087e-20,6.79776980e-21,1.14787679e-05,6.91377297e-02,5.07586458e-72,3.29495864e-30,8.14199335e-27,1.82324704e-47,1.87809430e-68,8.12113354e-20,0.00000000e+00,1.07720620e-35,3.05776182e-11,5.71014258e-05,2.10556559e-07,1.10641041e-28,1.45519731e-50,3.04321997e-73,6.39065055e-208,2.32703348e-228,3.36249778e-23,1.20976070e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.32295363e-26,2.40519187e-47,8.52303365e-69,5.45691348e-249,4.67043651e-43,5.75828365e-19,7.39103733e-12,3.62073935e-04,1.37916168e-07,7.24906253e-07,5.54946402e-28,1.12188472e-47,9.83888480e-70
1.66169525e-09,1.99999999e-01,1.49999999e+04,6.26106011e-35,6.15284575e-36,2.13643429e-56,1.26653163e-77,3.29248035e-101,1.46032885e-20,6.76232263e-51,1.18819926e-72,1.35940286e-94,9.35834124e-14,8.08117933e-30,1.37410618e-59,6.45203083e-27,1.89972434e-04,2.13235843e-06,2.09816512e-23,9.40339456e-45,3.97764064e-67,3.79620593e-28,0.00000000e+00,1.66755078e-63,5.23608374e-33,7.82204797e-13,3.57477573e-16,5.83525909e-12,2.25895224e-30,4.20395993e-49,4.13595963e-72,4.61867277e-95,7.12941123e-01,3.00283029e-20,7.60948192e-21,1.14787679e-05,6.91377297e-02,5.95146222e-72,3.87296250e-30,9.73949648e-27,2.40965065e-47,2.75942732e-68,8.47359442e-20,0.00000000e+00,1.30318329e-35,3.25816143e-11,5.71014254e-05,2.10597429e-07,1.23875316e-28,1.82428348e-50,4.25726698e-73,8.75742548e-208,3.51751101e-228,3.81768287e-23,1.37352727e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.83950391e-26,3.01496919e-47,1.19223616e-68,7.03314595e-249,6.01949656e-43,6.53778919e-19,7.87543073e-12,3.62073935e-04,1.37916157e-07,7.24842779e-07,6.21221309e-28,1.40624732e-47,1.37625263e-69
