time,t9,rho,eps_nuc_erg_g_s,F_c12_pg_n13,F_n13_pg_o14,F_n13_bd_c13,F_c13_pg_n14,F_n14_pg_o15,F_o14_bd_n14,F_o15_bd_n15,F_n15_pa_c12,F_n15_pg_o16,F_o16_pg_f17,F_o17_pa_n14,F_f17_bd_o17,F_f17_pg_ne18,F_ne18_bd_f18,F_f18_pa_o15,F_o17_pg_f18,tau_c12_pg_n13,tau_n13_pg_o14,tau_n13_bd_c13,tau_c13_pg_n14,tau_n14_pg_o15,tau_o14_bd_n14,tau_o15_bd_n15,tau_n15_pa_c12,tau_n15_pg_o16,tau_o16_pg_f17,tau_o17_pa_n14,tau_f17_bd_o17,tau_f17_pg_ne18,tau_ne18_bd_f18,tau_f18_pa_o15,tau_o17_pg_f18,tau_T9,tau_rho,Q_c12_pg_n13,Q_n13_pg_o14,Q_o14_bd_n14,Q_n14_pg_o15,Q_o15_bd_n15,Q_n15_pa_c12,steady_flow_dispersion_dex,fside_c12,fside_n13,fside_o14,fside_n14,fside_o15,fside_n15
0.00000000e+00,2.00000000e-01,1.50000000e+04,3.51861648e+18,1.96074384e-02,0.00000000e+00,0.00000000e+00,6.81435053e-04,4.73939573e-03,0.00000000e+00,0.00000000e+00,2.16950130e-01,4.24638133e-05,4.70726995e-04,1.07496036e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.15123574e-07,9.68877736e-03,4.14059677e-02,8.62728464e+02,3.12921907e-03,1.20482516e-02,1.01853958e+02,1.76008097e+02,9.67649733e-07,4.94377963e-03,7.69180310e-01,1.28298997e-03,9.30540028e+01,1.70232313e+01,2.40929940e+00,8.39730139e-04,6.41102852e-01,6.00000000e-01,2.00000000e-01,4.13711780e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,4.57759053e+01,inf,4.94956999e-11,2.57673500e-68,1.00000000e+00,1.42707029e-01,4.43140882e-82,7.40297827e-01
1.00000000e-09,2.00000000e-01,1.49999999e+04,3.51854581e+18,1.96074585e-02,4.73541591e-10,2.27272532e-14,6.81434822e-04,4.73939527e-03,2.32461029e-21,2.69271447e-14,2.17364452e-01,4.25449088e-05,4.70726985e-04,1.07495950e-04,5.05864311e-15,2.76520345e-14,5.73860492e-24,2.56187513e-13,2.15123401e-07,9.68877755e-03,4.14059685e-02,8.62728464e+02,3.12921913e-03,1.20482519e-02,1.01853958e+02,1.76008097e+02,9.67649755e-07,4.94377974e-03,7.69180326e-01,1.28299000e-03,9.30540028e+01,1.70232317e+01,2.40929940e+00,8.39730160e-04,6.41102865e-01,5.99999713e-01,1.99999999e-01,4.13712243e+00,9.99160366e-08,4.90486688e-19,1.00000000e+00,5.68155707e-12,4.58633305e+01,1.83093728e+01,4.94102407e-11,1.16090275e-12,4.46893535e-17,1.42706991e-01,5.40550344e-11,7.39765975e-01
1.06553795e-09,2.00000000e-01,1.49999999e+04,3.51854108e+18,1.96074598e-02,5.04576552e-10,2.42167515e-14,6.81434807e-04,4.73939524e-03,2.63929545e-21,2.86918945e-14,2.17391571e-01,4.25502170e-05,4.70726984e-04,1.07495944e-04,5.39017620e-15,2.94642921e-14,6.51544631e-24,2.72977499e-13,2.15123390e-07,9.68877756e-03,4.14059686e-02,8.62728464e+02,3.12921914e-03,1.20482519e-02,1.01853958e+02,1.76008097e+02,9.67649757e-07,4.94377975e-03,7.69180327e-01,1.28299000e-03,9.30540028e+01,1.70232317e+01,2.40929940e+00,8.39730161e-04,6.41102866e-01,5.99999713e-01,1.99999957e-01,4.13712273e+00,1.06464333e-07,5.56884437e-19,1.00000000e+00,6.05391470e-12,4.58690530e+01,1.82542349e+01,4.94046412e-11,1.23699088e-12,5.00244925e-17,1.42706989e-01,5.75976945e-11,7.39731149e-01
1.13537112e-09,2.00000000e-01,1.49999999e+04,3.51853602e+18,1.96074612e-02,5.37645483e-10,2.58038687e-14,6.81434791e-04,4.73939520e-03,2.99657991e-21,3.05723023e-14,2.17420464e-01,4.25558722e-05,4.70726983e-04,1.07495938e-04,5.74343730e-15,3.13953213e-14,7.39744959e-24,2.90867864e-13,2.15123378e-07,9.68877757e-03,4.14059686e-02,8.62728464e+02,3.12921914e-03,1.20482519e-02,1.01853958e+02,1.76008097e+02,9.67649758e-07,4.94377976e-03,7.69180328e-01,1.28299000e-03,9.30540028e+01,1.70232317e+01,2.40929940e+00,8.39730162e-04,6.41102867e-01,5.99999713e-01,1.99999957e-01,4.13712306e+00,1.13441792e-07,6.32270528e-19,1.00000000e+00,6.45067588e-12,4.58751496e+01,1.81990971e+01,4.93986753e-11,1.31806616e-12,5.59495831e-17,1.42706986e-01,6.13725336e-11,7.39694044e-01
1.20978102e-09,2.00000000e-01,1.49999999e+04,3.51853062e+18,1.96074627e-02,5.72881687e-10,2.74950024e-14,6.81434773e-04,4.73939517e-03,3.40223038e-21,3.25759483e-14,2.17451245e-01,4.25618969e-05,4.70726982e-04,1.07495932e-04,6.11985040e-15,3.34529063e-14,8.39885064e-24,3.09930724e-13,2.15123365e-07,9.68877758e-03,4.14059687e-02,8.62728464e+02,3.12921915e-03,1.20482520e-02,1.01853958e+02,1.76008097e+02,9.67649760e-07,4.94377976e-03,7.69180329e-01,1.28299001e-03,9.30540028e+01,1.70232318e+01,2.40929940e+00,8.39730164e-04,6.41102868e-01,6.00000142e-01,2.00000040e-01,4.13712340e+00,1.20876539e-07,7.17861722e-19,1.00000000e+00,6.87343998e-12,4.58816446e+01,1.81439592e+01,4.93923192e-11,1.40445548e-12,6.25214137e-17,1.42706984e-01,6.53947681e-11,7.39654512e-01
1.28906759e-09,2.00000000e-01,1.49999999e+04,3.51852484e+18,1.96074642e-02,6.10427201e-10,2.92969697e-14,6.81434755e-04,4.73939513e-03,3.86279423e-21,3.47109090e-14,2.17484037e-01,4.25683154e-05,4.70726982e-04,1.07495925e-04,6.52093285e-15,3.56453411e-14,9.53581248e-24,3.30242922e-13,2.15123351e-07,9.68877760e-03,4.14059688e-02,8.62728464e+02,3.12921915e-03,1.20482520e-02,1.01853958e+02,1.76008097e+02,9.67649762e-07,4.94377977e-03,7.69180330e-01,1.28299001e-03,9.30540028e+01,1.70232318e+01,2.40929940e+00,8.39730165e-04,6.41102869e-01,5.99999713e-01,2.00000040e-01,4.13712377e+00,1.28798546e-07,8.15039498e-19,1.00000000e+00,7.32391118e-12,4.58885640e+01,1.80888213e+01,4.93855473e-11,1.49650714e-12,6.98003480e-17,1.42706981e-01,6.96806119e-11,7.39612394e-01
1.37355044e-09,2.00000000e-01,1.49999999e+04,3.51851866e+18,1.96074659e-02,6.50433376e-10,3.12170343e-14,6.81434736e-04,4.73939509e-03,4.38570514e-21,3.69857907e-14,2.17518971e-01,4.25751531e-05,4.70726981e-04,1.07495918e-04,6.94830142e-15,3.79814636e-14,1.08266861e-23,3.51886336e-13,2.15123336e-07,9.68877762e-03,4.14059688e-02,8.62728464e+02,3.12921916e-03,1.20482520e-02,1.01853958e+02,1.76008097e+02,9.67649764e-07,4.94377978e-03,7.69180332e-01,1.28299001e-03,9.30540028e+01,1.70232318e+01,2.40929940e+00,8.39730167e-04,6.41102871e-01,6.00000142e-01,1.99999999e-01,4.13712416e+00,1.37239745e-07,9.25372343e-19,1.00000000e+00,7.80390534e-12,4.58959355e+01,1.80336835e+01,4.93783326e-11,1.59459228e-12,7.78506735e-17,1.42706977e-01,7.42473414e-11,7.39567522e-01
1.46357012e-09,2.00000000e-01,1.49999999e+04,3.51851206e+18,1.96074677e-02,6.93061476e-10,3.32629363e-14,6.81434715e-04,4.73939505e-03,4.97940312e-21,3.94097634e-14,2.17556188e-01,4.25824376e-05,4.70726980e-04,1.07495910e-04,7.40367885e-15,4.04706907e-14,1.22923068e-23,3.74948211e-13,2.15123321e-07,9.68877763e-03,4.14059689e-02,8.62728464e+02,3.12921916e-03,1.20482521e-02,1.01853958e+02,1.76008097e+02,9.67649766e-07,4.94377979e-03,7.69180333e-01,1.28299001e-03,9.30540028e+01,1.70232319e+01,2.40929940e+00,8.39730169e-04,6.41102872e-01,6.00000142e-01,1.99999957e-01,4.13712458e+00,1.46234165e-07,1.05064108e-18,1.00000000e+00,8.31535734e-12,4.59037885e+01,1.79785456e+01,4.93706464e-11,1.69910635e-12,8.67408062e-17,1.42706974e-01,7.91133651e-11,7.39519716e-01
1.55948950e-09,1.99999999e-01,1.49999999e+04,3.51850500e+18,1.96074697e-02,7.38483338e-10,3.54429226e-14,6.81434693e-04,4.73939501e-03,5.65347069e-21,4.19925984e-14,2.17595835e-01,4.25901977e-05,4.70726979e-04,1.07495902e-04,7.88890078e-15,4.31230567e-14,1.39563301e-23,3.99521509e-13,2.15123304e-07,9.68877765e-03,4.14059690e-02,8.62728464e+02,3.12921917e-03,1.20482521e-02,1.01853958e+02,1.76008097e+02,9.67649768e-07,4.94377980e-03,7.69180334e-01,1.28299002e-03,9.30540028e+01,1.70232319e+01,2.40929940e+00,8.39730171e-04,6.41102873e-01,5.99999927e-01,1.99999957e-01,4.13712502e+00,1.55818061e-07,1.19286759e-18,1.00000000e+00,8.86032886e-12,4.59121543e+01,1.79234078e+01,4.93624582e-11,1.81047074e-12,9.65428532e-17,1.42706971e-01,8.42982981e-11,7.39468784e-01
1.66169525e-09,1.99999999e-01,1.49999999e+04,3.51849745e+18,1.96074717e-02,7.86882061e-10,3.77657811e-14,6.81434669e-04,4.73939496e-03,6.41878758e-21,4.47447070e-14,2.17638070e-01,4.25984645e-05,4.70726978e-04,1.07495893e-04,8.40592316e-15,4.59492533e-14,1.58456142e-23,4.25705285e-13,2.15123287e-07,9.68877767e-03,4.14059691e-02,8.62728464e+02,3.12921917e-03,1.20482521e-02,1.01853958e+02,1.76008097e+02,9.67649770e-07,4.94377981e-03,7.69180336e-01,1.28299002e-03,9.30540028e+01,1.70232319e+01,2.40929940e+00,8.39730173e-04,6.41102874e-01,5.99999927e-01,1.99999936e-01,4.13712550e+00,1.66030067e-07,1.35434747e-18,1.00000000e+00,9.44101671e-12,4.59210663e+01,1.78682699e+01,4.93537352e-11,1.92913441e-12,1.07332076e-16,1.42706967e-01,8.98230411e-11,7.39414523e-01
