time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,2.00000000e-01,4.00000000e+03,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,2.00000000e-01,3.99999998e+03,3.67836674e-03,7.12941124e-01,7.12941124e-01,6.91377286e-02,2.76550914e-01,1.89972158e-04,2.27966590e-03,2.13235938e-06,2.77206720e-05,5.22865091e-12,6.79724618e-11,5.71014309e-05,7.99420033e-04,2.10038740e-07,3.15058110e-06,1.68370273e-20,2.35718382e-19,1.26383883e-12,1.89575825e-11,3.62073936e-04,5.79318297e-03,1.37916308e-07,2.34457723e-06,7.25709633e-07,1.30627734e-05,1.25527197e-13,2.13396236e-12,5.73676097e-17,1.03261698e-15,9.83183446e-25,1.76973020e-23,7.17611355e-05,1.43522271e-03
1.07790740e-09,2.00000000e-01,3.99999998e+03,3.67851441e-03,7.12941124e-01,7.12941124e-01,6.91377286e-02,2.76550914e-01,1.89972162e-04,2.27966595e-03,2.13235937e-06,2.77206718e-05,5.63600157e-12,7.32680204e-11,5.71014308e-05,7.99420032e-04,2.10047074e-07,3.15070611e-06,1.95626790e-20,2.73877505e-19,1.36230123e-12,2.04345184e-11,3.62073936e-04,5.79318297e-03,1.37916305e-07,2.34457719e-06,7.25696716e-07,1.30625409e-05,1.35306695e-13,2.30021381e-12,6.18369698e-17,1.11306546e-15,1.14234548e-24,2.05622186e-23,7.17611355e-05,1.43522271e-03
1.16188436e-09,2.00000000e-01,3.99999998e+03,3.67867358e-03,7.12941124e-01,7.12941124e-01,6.91377286e-02,2.76550914e-01,1.89972167e-04,2.27966600e-03,2.13235935e-06,2.77206716e-05,6.07508786e-12,7.89761422e-11,5.71014307e-05,7.99420030e-04,2.10056056e-07,3.15084085e-06,2.27295711e-20,3.18213995e-19,1.46843457e-12,2.20265186e-11,3.62073936e-04,5.79318297e-03,1.37916303e-07,2.34457715e-06,7.25682793e-07,1.30622903e-05,1.45848088e-13,2.47941749e-12,6.66545258e-17,1.19978146e-15,1.32727336e-24,2.38909204e-23,7.17611355e-05,1.43522271e-03
1.25240375e-09,2.00000000e-01,3.99999997e+03,3.67884515e-03,7.12941124e-01,7.12941124e-01,6.91377286e-02,2.76550915e-01,1.89972172e-04,2.27966606e-03,2.13235934e-06,2.77206714e-05,6.54838224e-12,8.51289691e-11,5.71014306e-05,7.99420029e-04,2.10065738e-07,3.15098607e-06,2.64091335e-20,3.69727869e-19,1.58283649e-12,2.37425473e-11,3.62073936e-04,5.79318297e-03,1.37916300e-07,2.34457711e-06,7.25667785e-07,1.30620201e-05,1.57210733e-13,2.67258246e-12,7.18474049e-17,1.29325329e-15,1.54213816e-24,2.77584869e-23,7.17611355e-05,1.43522271e-03
1.34997528e-09,2.00000000e-01,3.99999997e+03,3.67903007e-03,7.12941124e-01,7.12941124e-01,6.91377287e-02,2.76550915e-01,1.89972177e-04,2.27966612e-03,2.13235932e-06,2.77206711e-05,7.05854977e-12,9.17611470e-11,5.71014305e-05,7.99420028e-04,2.10076174e-07,3.15114260e-06,3.06843596e-20,4.29581034e-19,1.70615116e-12,2.55922674e-11,3.62073936e-04,5.79318297e-03,1.37916298e-07,2.34457706e-06,7.25651609e-07,1.30617290e-05,1.69458612e-13,2.88079641e-12,7.74448474e-17,1.39400725e-15,1.79178622e-24,3.22521520e-23,7.17611355e-05,1.43522271e-03
1.45514834e-09,2.00000000e-01,3.99999997e+03,3.67922938e-03,7.12941124e-01,7.12941124e-01,6.91377287e-02,2.76550915e-01,1.89972182e-04,2.27966619e-03,2.13235930e-06,2.77206709e-05,7.60846313e-12,9.89100207e-11,5.71014304e-05,7.99420026e-04,2.10087421e-07,3.15131132e-06,3.56516779e-20,4.99123490e-19,1.83907296e-12,2.75860944e-11,3.62073936e-04,5.79318297e-03,1.37916295e-07,2.34457701e-06,7.25634173e-07,1.30614151e-05,1.82660692e-13,3.10523176e-12,8.34783717e-17,1.50261069e-15,2.08184839e-24,3.74732710e-23,7.17611355e-05,1.43522271e-03
1.56851516e-09,1.99999999e-01,3.99999997e+03,3.67944420e-03,7.12941124e-01,7.12941124e-01,6.91377287e-02,2.76550915e-01,1.89972188e-04,2.27966626e-03,2.13235928e-06,2.77206706e-05,8.20121883e-12,1.06615845e-10,5.71014303e-05,7.99420024e-04,2.10099544e-07,3.15149317e-06,4.14231274e-20,5.79923784e-19,1.98235035e-12,2.97352552e-11,3.62073936e-04,5.79318297e-03,1.37916291e-07,2.34457695e-06,7.25615378e-07,1.30610768e-05,1.96891311e-13,3.34715230e-12,8.99819518e-17,1.61967513e-15,2.41886708e-24,4.35396075e-23,7.17611355e-05,1.43522271e-03
1.69071410e-09,1.99999999e-01,3.99999997e+03,3.67967575e-03,7.12941124e-01,7.12941124e-01,6.91377287e-02,2.76550915e-01,1.89972195e-04,2.27966634e-03,2.13235926e-06,2.77206703e-05,8.84015461e-12,1.14922010e-10,5.71014302e-05,7.99420022e-04,2.10112611e-07,3.15168917e-06,4.81288845e-20,6.73804383e-19,2.13679010e-12,3.20518515e-11,3.62073936e-04,5.79318297e-03,1.37916288e-07,2.34457689e-06,7.25595120e-07,1.30607122e-05,2.12230601e-13,3.60792023e-12,9.69922086e-17,1.74585975e-15,2.81044384e-24,5.05879891e-23,7.17611355e-05,1.43522271e-03
1.82243324e-09,1.99999999e-01,3.99999996e+03,3.67992531e-03,7.12941124e-01,7.12941124e-01,6.91377288e-02,2.76550915e-01,1.89972202e-04,2.27966642e-03,2.13235923e-06,2.77206700e-05,9.52886823e-12,1.23875287e-10,5.71014300e-05,7.99420021e-04,2.10126695e-07,3.15190042e-06,5.59201988e-20,7.82882784e-19,2.30326186e-12,3.45489279e-11,3.62073935e-04,5.79318297e-03,1.37916284e-07,2.34457683e-06,7.25573285e-07,1.30603191e-05,2.28764936e-13,3.88900391e-12,1.04548616e-16,1.88187508e-15,3.26541074e-24,5.87773933e-23,7.17611355e-05,1.43522271e-03
