time,t9,rho,b10,b11,b12,b13,b14,b8,be10,be11,be12,be7,be9,c10,c11,c12,c13,c14,c15,c16,c9,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,h1,h2,h3,he3,he4,he6,li6,li7,li8,li9,n,n11,n12,n13,n14,n15,n16,n17,n18,ne16,ne17,ne18,ne19,ne20,ne21,ne22,ne23,ne24,ne25,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21
0.00000000e+00,9.12800000e-02,2.21100000e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.89972106e-04,2.13235956e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.12941125e-01,0.00000000e+00,0.00000000e+00,1.14787684e-05,6.91377283e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.71014320e-05,2.09931735e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.71411363e-07,5.27977883e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,1.37916336e-07,7.25875455e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-05,9.12800012e-02,2.21099998e+04,4.61003985e-39,1.68335944e-35,1.71656493e-58,3.38469102e-82,1.48374852e-108,2.60287652e-17,3.37320646e-60,1.24369599e-84,1.76533231e-108,2.08259438e-12,9.39940828e-36,1.07028197e-59,2.18648592e-26,1.89972551e-04,2.13234775e-06,8.34960528e-26,7.43093543e-50,6.27873822e-75,2.27843529e-23,0.00000000e+00,4.21228314e-104,3.38743488e-47,2.62561520e-12,1.27852034e-15,8.71447221e-12,4.91415661e-33,4.18320232e-54,7.11297771e-80,1.33657656e-105,7.12941122e-01,5.68480471e-19,7.73232845e-24,1.14787550e-05,6.91377306e-02,1.14322446e-104,2.03637125e-28,4.39311094e-27,1.30237196e-51,1.07535329e-74,2.37269209e-26,0.00000000e+00,5.72137202e-34,3.27910825e-10,5.71014416e-05,2.10647483e-07,2.52868042e-31,1.08699484e-55,5.04836986e-81,0.00000000e+00,0.00000000e+00,1.91170858e-22,1.53428374e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.13396683e-28,5.57307691e-52,4.38499038e-76,0.00000000e+00,1.73470650e-40,3.07495822e-17,2.34208618e-12,3.62073933e-04,1.37916164e-07,7.24377938e-07,1.27481357e-30,1.16769417e-52,2.27401675e-77
1.05973035e-05,9.12800013e-02,2.21099998e+04,4.67402067e-39,1.92913654e-35,2.07003939e-58,4.35068673e-82,2.02910963e-108,2.92310213e-17,3.37077091e-60,1.24406985e-84,1.90417326e-108,2.20698677e-12,9.40152355e-36,1.43009055e-59,2.45548756e-26,1.89972577e-04,2.13234704e-06,8.84840652e-26,8.33573489e-50,7.46610800e-75,2.71157033e-23,0.00000000e+00,4.98394859e-104,3.74338186e-47,2.78244413e-12,1.35488657e-15,9.23442120e-12,5.51851333e-33,4.97829303e-54,8.97033592e-80,1.78588403e-105,7.12941122e-01,5.89969080e-19,7.74457169e-24,1.14787542e-05,6.91377308e-02,1.21152558e-104,2.11387680e-28,4.63097338e-27,1.37359342e-51,1.21199166e-74,2.37269209e-26,0.00000000e+00,6.80896502e-34,3.47497078e-10,5.71014422e-05,2.10690055e-07,2.67973158e-31,1.22074413e-55,6.00822113e-81,0.00000000e+00,0.00000000e+00,2.14690291e-22,1.72304404e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.26144916e-28,6.25883308e-52,5.21872388e-76,0.00000000e+00,2.18769807e-40,3.45326564e-17,2.48197984e-12,3.62073933e-04,1.37916154e-07,7.24288589e-07,1.35087459e-30,1.31131022e-52,2.70627418e-77
1.12302842e-05,9.12800013e-02,2.21099998e+04,4.73242735e-39,2.20875514e-35,2.49230947e-58,5.58414431e-82,2.77139395e-108,3.28272418e-17,3.36673450e-60,1.24352100e-84,2.05128586e-108,2.33880894e-12,9.40598304e-36,1.91095354e-59,2.75758437e-26,1.89972605e-04,2.13234630e-06,9.37700121e-26,9.35006093e-50,8.87756130e-75,3.22704657e-23,0.00000000e+00,5.89506737e-104,4.13344739e-47,2.94864051e-12,1.43581415e-15,9.78535691e-12,6.19717953e-33,5.92449644e-54,1.13127418e-79,2.38635121e-105,7.12941122e-01,6.11631822e-19,7.75388149e-24,1.14787533e-05,6.91377309e-02,1.28390632e-104,2.19201169e-28,4.88019120e-27,1.44819025e-51,1.36471358e-74,2.37269192e-26,0.00000000e+00,8.10330170e-34,3.68253228e-10,5.71014428e-05,2.10735147e-07,2.83980360e-31,1.37094901e-55,7.15056317e-81,0.00000000e+00,0.00000000e+00,2.41103279e-22,1.93502718e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.39654606e-28,7.02896326e-52,6.21097314e-76,0.00000000e+00,2.75899377e-40,3.87811566e-17,2.63022939e-12,3.62073933e-04,1.37916143e-07,7.24193914e-07,1.43146699e-30,1.47258388e-52,3.22068714e-77
1.19010731e-05,9.12800014e-02,2.21099998e+04,4.78541899e-39,2.52663138e-35,2.99586102e-58,7.15657573e-82,3.78027827e-108,3.68658946e-17,3.36583530e-60,1.24574219e-84,2.20693160e-108,2.47850466e-12,9.40898382e-36,2.55361848e-59,3.09684807e-26,1.89972635e-04,2.13234550e-06,9.93716886e-26,1.04870522e-49,1.05552688e-74,3.84051743e-23,0.00000000e+00,6.97037262e-104,4.56040308e-47,3.12476385e-12,1.52157554e-15,1.03691216e-11,6.95928905e-33,7.05052949e-54,1.42668653e-79,3.18885707e-105,7.12941121e-01,6.33405113e-19,7.76108718e-24,1.14787524e-05,6.91377310e-02,1.36061034e-104,2.27054195e-28,5.14163960e-27,1.52642365e-51,1.53533735e-74,2.37269161e-26,0.00000000e+00,9.64368145e-34,3.90249153e-10,5.71014434e-05,2.10782907e-07,3.00943507e-31,1.53963390e-55,8.51009018e-81,0.00000000e+00,0.00000000e+00,2.70765812e-22,2.17309023e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.53971233e-28,7.89384817e-52,7.39187514e-76,0.00000000e+00,3.47949068e-40,4.35523435e-17,2.78733394e-12,3.62073933e-04,1.37916131e-07,7.24093599e-07,1.51685996e-30,1.65368518e-52,3.83286754e-77
1.26119284e-05,9.12800015e-02,2.21099998e+04,4.83303632e-39,2.88772086e-35,3.59527290e-58,9.15788265e-82,5.14939762e-108,4.14014107e-17,3.36626211e-60,1.24849056e-84,2.37196730e-108,2.62654419e-12,9.41140945e-36,3.41252891e-59,3.47785131e-26,1.89972667e-04,2.13234466e-06,1.05307953e-25,1.17614013e-49,1.25493071e-74,4.57061208e-23,0.00000000e+00,8.23887046e-104,5.02717747e-47,3.31140710e-12,1.61245944e-15,1.09876665e-11,7.81509789e-33,8.39056559e-54,1.79924468e-79,4.26138106e-105,7.12941121e-01,6.55220445e-19,7.76642275e-24,1.14787515e-05,6.91377312e-02,1.44189587e-104,2.34922458e-28,5.41641073e-27,1.60862165e-51,1.72591539e-74,2.37269116e-26,0.00000000e+00,1.14768736e-33,4.13558906e-10,5.71014441e-05,2.10833493e-07,3.18919675e-31,1.72907230e-55,1.01280919e-80,0.00000000e+00,0.00000000e+00,3.04077675e-22,2.44044174e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.69142995e-28,8.86514567e-52,8.79729631e-76,0.00000000e+00,4.38815314e-40,4.89105224e-17,2.95382241e-12,3.62073933e-04,1.37916119e-07,7.23987306e-07,1.60733861e-30,1.85705072e-52,4.56139343e-77
1.33652433e-05,9.12800016e-02,2.21099998e+04,4.87561305e-39,3.29761151e-35,4.30751034e-58,1.17008689e-81,7.00455796e-108,4.64949171e-17,3.36915216e-60,1.24956408e-84,2.54760634e-108,2.78342588e-12,9.40745905e-36,4.56045048e-59,3.90572933e-26,1.89972701e-04,2.13234377e-06,1.11598789e-25,1.31895339e-49,1.49191322e-74,5.43950110e-23,0.00000000e+00,9.73455258e-104,5.53685424e-47,3.50919862e-12,1.70877183e-15,1.16430581e-11,8.77612194e-33,9.98527108e-54,2.26909384e-79,5.69477872e-105,7.12941121e-01,6.77004840e-19,7.77050707e-24,1.14787505e-05,6.91377314e-02,1.52803653e-104,2.42779891e-28,5.70550911e-27,1.69508417e-51,1.93871050e-74,2.37269060e-26,0.00000000e+00,1.36585373e-33,4.38260963e-10,5.71014448e-05,2.10887068e-07,3.37969343e-31,1.94181734e-55,1.20537074e-80,0.00000000e+00,0.00000000e+00,3.41487839e-22,2.74068502e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,2.85220968e-28,9.95594788e-52,1.04699217e-75,0.00000000e+00,5.53412080e-40,5.49279102e-17,3.13025530e-12,3.62073933e-04,1.37916106e-07,7.23874682e-07,1.70320487e-30,2.08541630e-52,5.42837224e-77
1.41635540e-05,9.12800017e-02,2.21099998e+04,4.91308968e-39,3.76258121e-35,5.15229441e-58,1.49268058e-81,9.51439247e-108,5.22150613e-17,3.37013591e-60,1.24947589e-84,2.73396880e-108,2.94967782e-12,9.40588024e-36,6.09462522e-59,4.38624917e-26,1.89972737e-04,2.13234283e-06,1.18265376e-25,1.47898090e-49,1.77353279e-74,6.47356978e-23,0.00000000e+00,1.14972197e-103,6.09267292e-47,3.71880430e-12,1.81083695e-15,1.23374853e-11,9.85529163e-33,1.18830390e-53,2.86163933e-79,7.61046521e-105,7.12941121e-01,6.98681269e-19,7.77352473e-24,1.14787494e-05,6.91377316e-02,1.61932229e-104,2.50598224e-28,6.01015900e-27,1.78617988e-51,2.17632556e-74,2.37268994e-26,0.00000000e+00,1.62549112e-33,4.64438488e-10,5.71014456e-05,2.10943809e-07,3.58156602e-31,2.18073625e-55,1.43454176e-80,0.00000000e+00,0.00000000e+00,3.83500510e-22,3.07786667e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.02259279e-28,1.11809576e-51,1.24605513e-75,0.00000000e+00,6.97936555e-40,6.16856083e-17,3.31722659e-12,3.62073932e-04,1.37916093e-07,7.23755350e-07,1.80477851e-30,2.34185367e-52,6.46011133e-77
1.50095481e-05,9.12800018e-02,2.21099998e+04,4.94575396e-39,4.28969609e-35,6.15249125e-58,1.90123112e-81,1.29046124e-107,5.86389359e-17,3.36961057e-60,1.24873170e-84,2.93150856e-108,3.12585968e-12,9.40556442e-36,8.14501838e-59,4.92588738e-26,1.89972774e-04,2.13234183e-06,1.25330157e-25,1.65827400e-49,2.10816750e-74,7.70421935e-23,0.00000000e+00,1.35734346e-103,6.69802675e-47,3.94092980e-12,1.91899840e-15,1.30732658e-11,1.10671256e-32,1.41414565e-53,3.60892019e-79,1.01707108e-104,7.12941121e-01,7.20169291e-19,7.77569201e-24,1.14787482e-05,6.91377317e-02,1.71606046e-104,2.58348596e-28,6.33159913e-27,1.88228146e-51,2.44167195e-74,2.37268916e-26,0.00000000e+00,1.93448243e-33,4.92179610e-10,5.71014464e-05,2.11003899e-07,3.79549364e-31,2.44904895e-55,1.70728206e-80,0.00000000e+00,0.00000000e+00,4.30681926e-22,3.45653116e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.20315289e-28,1.25566867e-51,1.48296432e-75,0.00000000e+00,8.80204282e-40,6.92746961e-17,3.51536574e-12,3.62073932e-04,1.37916078e-07,7.23628911e-07,1.91239811e-30,2.62981172e-52,7.68791550e-77
1.59060737e-05,9.12800019e-02,2.21099998e+04,4.97385277e-39,4.88690512e-35,7.33456312e-58,2.41777997e-81,1.74767707e-107,6.58531178e-17,3.36654205e-60,1.24674860e-84,3.14082225e-108,3.31256452e-12,9.40792319e-36,1.08853239e-58,5.53191737e-26,1.89972815e-04,2.13234077e-06,1.32816914e-25,1.85912409e-49,2.50576036e-74,9.16882044e-23,0.00000000e+00,1.60176224e-103,7.35646093e-47,4.17632293e-12,2.03362031e-15,1.38528545e-11,1.24279254e-32,1.68290515e-53,4.55134098e-79,1.35923800e-104,7.12941120e-01,7.41385781e-19,7.77712562e-24,1.14787470e-05,6.91377320e-02,1.81857668e-104,2.66000995e-28,6.67111444e-27,1.98377519e-51,2.73802200e-74,2.37268828e-26,0.00000000e+00,2.30220888e-33,5.21577725e-10,5.71014473e-05,2.11067534e-07,4.02219594e-31,2.75037147e-55,2.03187455e-80,0.00000000e+00,0.00000000e+00,4.83667989e-22,3.88178203e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.39449784e-28,1.41016781e-51,1.76491491e-75,0.00000000e+00,1.11007171e-39,7.77974583e-17,3.72533982e-12,3.62073932e-04,1.37916062e-07,7.23494945e-07,2.02642222e-30,2.95316276e-52,9.14903610e-77
