time,t9,rho,eps_nuc_erg_g_s,F_c12_pg_n13,F_n13_pg_o14,F_n13_bd_c13,F_c13_pg_n14,F_n14_pg_o15,F_o14_bd_n14,F_o15_bd_n15,F_n15_pa_c12,F_n15_pg_o16,F_o16_pg_f17,F_o17_pa_n14,F_f17_bd_o17,F_f17_pg_ne18,F_ne18_bd_f18,F_f18_pa_o15,F_o17_pg_f18,tau_c12_pg_n13,tau_n13_pg_o14,tau_n13_bd_c13,tau_c13_pg_n14,tau_n14_pg_o15,tau_o14_bd_n14,tau_o15_bd_n15,tau_n15_pa_c12,tau_n15_pg_o16,tau_o16_pg_f17,tau_o17_pa_n14,tau_f17_bd_o17,tau_f17_pg_ne18,tau_ne18_bd_f18,tau_f18_pa_o15,tau_o17_pg_f18,tau_T9,tau_rho,Q_c12_pg_n13,Q_n13_pg_o14,Q_o14_bd_n14,Q_n14_pg_o15,Q_o15_bd_n15,Q_n15_pa_c12,steady_flow_dispersion_dex,fside_c12,fside_n13,fside_o14,fside_n14,fside_o15,fside_n15
0.00000000e+00,7.00000000e-02,2.20000000e+04,2.48094083e+13,2.19033863e-06,0.00000000e+00,0.00000000e+00,7.96000873e-08,1.19901114e-08,0.00000000e+00,0.00000000e+00,3.26928721e-06,1.24784277e-09,1.04948171e-08,1.84055662e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.62919046e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03244941e+06,2.97296787e+06,1.82678756e+02,0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,2.72665291e+02,inf,1.59149540e-19,8.15821167e-205,0.00000000e+00,8.71668474e-01,8.06757721e-242,2.23591926e-01
1.00000000e-05,7.00000000e-02,2.20000000e+04,2.48076207e+13,2.19033876e-06,2.02497626e-14,2.53885059e-14,7.96000576e-08,1.19901115e-08,9.94058809e-22,6.81224973e-16,3.26892434e-06,1.24770426e-09,1.04948171e-08,1.84055638e-09,1.12782000e-15,4.94739221e-20,1.02672714e-25,1.93958877e-18,8.62918931e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03315365e+06,2.96970546e+06,1.82678764e+02,1.68887191e-06,8.29065524e-14,1.00000000e+00,5.68155660e-08,2.72635024e+02,1.30814111e+01,1.59160123e-19,1.15911319e-08,4.98995213e-28,8.71668432e-01,1.61765690e-10,2.23608912e-01
1.05013690e-05,7.00000000e-02,2.20000000e+04,2.48075311e+13,2.19033876e-06,2.12650229e-14,2.66614069e-14,7.96000561e-08,1.19901115e-08,1.09623562e-21,7.15379478e-16,3.26890615e-06,1.24769732e-09,1.04948171e-08,1.84055636e-09,1.18436539e-15,5.19543909e-20,1.13226177e-25,2.03683372e-18,8.62918925e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03271004e+06,2.96970546e+06,1.82678765e+02,1.77354671e-06,9.14283085e-14,1.00000000e+00,5.96641221e-08,2.72633506e+02,1.30389193e+01,1.59160654e-19,1.21722752e-08,5.24013276e-28,8.71668430e-01,1.69876118e-10,2.23609764e-01
1.10278750e-05,7.00000000e-02,2.20000000e+04,2.48074370e+13,2.19033877e-06,2.23311852e-14,2.79981271e-14,7.96000545e-08,1.19901115e-08,1.20891492e-21,7.51246385e-16,3.26888704e-06,1.24769003e-09,1.04948171e-08,1.84055635e-09,1.24374579e-15,5.45592227e-20,1.24864402e-25,2.13895422e-18,8.62918919e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97430015e+06,1.82678765e+02,1.86246684e-06,1.00825995e-13,1.00000000e+00,6.26554959e-08,2.72631913e+02,1.29964275e+01,1.59161211e-19,1.27825553e-08,5.50285666e-28,8.71668427e-01,1.78393177e-10,2.23610658e-01
1.15807785e-05,7.00000000e-02,2.20000000e+04,2.48073382e+13,2.19033878e-06,2.34508015e-14,2.94018664e-14,7.96000529e-08,1.19901115e-08,1.33317625e-21,7.88911546e-16,3.26886698e-06,1.24768237e-09,1.04948171e-08,1.84055634e-09,1.30610334e-15,5.72946527e-20,1.37698889e-25,2.24619473e-18,8.62918912e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97430015e+06,1.82678766e+02,1.95584515e-06,1.11189645e-13,1.00000000e+00,6.57968480e-08,2.72630239e+02,1.29539357e+01,1.59161797e-19,1.34234329e-08,5.77875273e-28,8.71668425e-01,1.87337254e-10,2.23611598e-01
1.21614028e-05,7.00000000e-02,2.20000000e+04,2.48072344e+13,2.19033878e-06,2.46265520e-14,3.08759847e-14,7.96000512e-08,1.19901116e-08,1.47021009e-21,8.28465122e-16,3.26884591e-06,1.24767433e-09,1.04948171e-08,1.84055632e-09,1.37158731e-15,6.01672286e-20,1.51852600e-25,2.35881193e-18,8.62918906e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97276701e+06,1.82678766e+02,2.05390516e-06,1.22618550e-13,1.00000000e+00,6.90956976e-08,2.72628482e+02,1.29114438e+01,1.59162411e-19,1.40964421e-08,6.06848137e-28,8.71668423e-01,1.96729760e-10,2.23612584e-01
1.27711378e-05,7.00000000e-02,2.20000000e+04,2.48071254e+13,2.19033879e-06,2.58612509e-14,3.24240108e-14,7.96000494e-08,1.19901116e-08,1.62132930e-21,8.70001792e-16,3.26882379e-06,1.24766589e-09,1.04948171e-08,1.84055631e-09,1.44035443e-15,6.31838266e-20,1.67461134e-25,2.47707542e-18,8.62918899e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97276701e+06,1.82678767e+02,2.15688159e-06,1.35222203e-13,1.00000000e+00,7.25599414e-08,2.72626637e+02,1.28689520e+01,1.59163056e-19,1.48031940e-08,6.37273610e-28,8.71668420e-01,2.06593177e-10,2.23613620e-01
1.34114430e-05,7.00000000e-02,2.20000000e+04,2.48070110e+13,2.19033880e-06,2.71578538e-14,3.40496502e-14,7.96000475e-08,1.19901116e-08,1.78798167e-21,9.13620981e-16,3.26880056e-06,1.24765702e-09,1.04948171e-08,1.84055629e-09,1.51256933e-15,6.63516674e-20,1.84674027e-25,2.60126826e-18,8.62918891e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97123545e+06,1.82678767e+02,2.26502094e-06,1.49121354e-13,1.00000000e+00,7.61978715e-08,2.72624699e+02,1.28264602e+01,1.59163734e-19,1.55453801e-08,6.69224522e-28,8.71668417e-01,2.16951114e-10,2.23614707e-01
1.40838511e-05,7.00000000e-02,2.20000000e+04,2.48068908e+13,2.19033881e-06,2.85194644e-14,3.57567940e-14,7.96000455e-08,1.19901116e-08,1.97176382e-21,9.59427101e-16,3.26877616e-06,1.24764771e-09,1.04948171e-08,1.84055628e-09,1.58840486e-15,6.96783338e-20,2.03656188e-25,2.73168775e-18,8.62918883e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97430015e+06,1.82678768e+02,2.37858207e-06,1.64449164e-13,1.00000000e+00,8.00181962e-08,2.72622664e+02,1.27839683e+01,2.16743566e-17,1.63247772e-08,4.87094693e-19,8.71668414e-01,2.27828368e-10,2.23615849e-01
1.47899717e-05,7.00000000e-02,2.20000000e+04,2.48067646e+13,2.19033882e-06,2.99493419e-14,3.75495288e-14,7.96000434e-08,1.19901116e-08,2.17443648e-21,1.00752980e-15,3.26875054e-06,1.24763793e-09,1.04948171e-08,1.84055626e-09,1.66804254e-15,7.31717890e-20,2.24589475e-25,2.86864606e-18,8.62918875e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97353338e+06,1.82678768e+02,2.49783679e-06,1.81352481e-13,1.00000000e+00,8.40300600e-08,2.72620527e+02,1.27414765e+01,1.59165193e-19,1.71432508e-08,7.38012420e-28,8.71668411e-01,2.39250969e-10,2.23617049e-01
