time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,7.00000000e-02,2.20000000e+04,3.67647059e-03,7.11584059e-01,7.11584059e-01,6.90061264e-02,2.76024506e-01,1.89610499e-04,2.27532598e-03,2.12830067e-06,2.76679087e-05,0.00000000e+00,0.00000000e+00,5.69927408e-05,7.97898372e-04,2.09532135e-07,3.14298203e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.61384737e-04,5.78215580e-03,1.37653816e-07,2.34011488e-06,7.24493770e-07,1.30408879e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.16245400e-05,1.43249080e-03
1.00000000e-05,7.00000000e-02,2.20000000e+04,3.67606535e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610509e-04,2.27532611e-03,2.12829988e-06,2.76678984e-05,2.18200810e-11,2.83661053e-10,5.69927415e-05,7.97898381e-04,2.09508923e-07,3.14263384e-06,1.00671768e-19,1.40940475e-18,1.19445088e-13,1.79167632e-12,3.61384737e-04,5.78215579e-03,1.37653798e-07,2.34011456e-06,7.24484351e-07,1.30407183e-05,1.04549013e-13,1.77733322e-12,8.59636930e-17,1.54734647e-15,2.45959456e-25,4.42727021e-24,7.16245400e-05,1.43249080e-03
1.05013690e-05,7.00000000e-02,2.20000000e+04,3.67604504e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610510e-04,2.27532612e-03,2.12829984e-06,2.76678979e-05,2.29140722e-11,2.97882938e-10,5.69927416e-05,7.97898382e-04,2.09507759e-07,3.14261639e-06,1.11019564e-19,1.55427390e-18,1.25433694e-13,1.88150541e-12,3.61384737e-04,5.78215579e-03,1.37653797e-07,2.34011455e-06,7.24483878e-07,1.30407098e-05,1.09790776e-13,1.86644319e-12,9.02736450e-17,1.62492561e-15,2.71240987e-25,4.88233776e-24,7.16245400e-05,1.43249080e-03
1.10278750e-05,7.00000000e-02,2.20000000e+04,3.67602370e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610510e-04,2.27532613e-03,2.12829980e-06,2.76678974e-05,2.40629127e-11,3.12817865e-10,5.69927416e-05,7.97898382e-04,2.09506537e-07,3.14259806e-06,1.22430984e-19,1.71403378e-18,1.31722550e-13,1.97583825e-12,3.61384737e-04,5.78215579e-03,1.37653796e-07,2.34011453e-06,7.24483382e-07,1.30407009e-05,1.15295344e-13,1.96002085e-12,9.47996845e-17,1.70639432e-15,2.99121140e-25,5.38418052e-24,7.16245400e-05,1.43249080e-03
1.15807785e-05,7.00000000e-02,2.20000000e+04,3.67600130e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610511e-04,2.27532613e-03,2.12829975e-06,2.76678968e-05,2.52693525e-11,3.28501582e-10,5.69927416e-05,7.97898383e-04,2.09505254e-07,3.14257881e-06,1.35015356e-19,1.89021498e-18,1.38326710e-13,2.07490065e-12,3.61384737e-04,5.78215579e-03,1.37653795e-07,2.34011451e-06,7.24482862e-07,1.30406915e-05,1.21075895e-13,2.05829021e-12,9.95526456e-17,1.79194762e-15,3.29867021e-25,5.93760638e-24,7.16245400e-05,1.43249080e-03
1.21614028e-05,7.00000000e-02,2.20000000e+04,3.67597777e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610512e-04,2.27532614e-03,2.12829971e-06,2.76678962e-05,2.65362795e-11,3.44971633e-10,5.69927417e-05,7.97898384e-04,2.09503906e-07,3.14255859e-06,1.48893244e-19,2.08450541e-18,1.45261982e-13,2.17892973e-12,3.61384737e-04,5.78215579e-03,1.37653794e-07,2.34011449e-06,7.24482315e-07,1.30406817e-05,1.27146264e-13,2.16148649e-12,1.04543905e-16,1.88179029e-15,3.63773190e-25,6.54791742e-24,7.16245400e-05,1.43249080e-03
1.27711378e-05,7.00000000e-02,2.20000000e+04,3.67595307e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610512e-04,2.27532615e-03,2.12829966e-06,2.76678956e-05,2.78667262e-11,3.62267441e-10,5.69927417e-05,7.97898384e-04,2.09502491e-07,3.14253737e-06,1.64197605e-19,2.29876647e-18,1.52544967e-13,2.28817450e-12,3.61384737e-04,5.78215579e-03,1.37653793e-07,2.34011448e-06,7.24481741e-07,1.30406713e-05,1.33520983e-13,2.26985671e-12,1.09785411e-16,1.97613740e-15,4.01164485e-25,7.22096073e-24,7.16245400e-05,1.43249080e-03
1.34114430e-05,7.00000000e-02,2.20000000e+04,3.67592712e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610513e-04,2.27532616e-03,2.12829961e-06,2.76678949e-05,2.92638774e-11,3.80430406e-10,5.69927418e-05,7.97898385e-04,2.09501005e-07,3.14251507e-06,1.81075063e-19,2.53505088e-18,1.60193098e-13,2.40289646e-12,3.61384737e-04,5.78215579e-03,1.37653792e-07,2.34011446e-06,7.24481137e-07,1.30406605e-05,1.40215310e-13,2.38366027e-12,1.15289710e-16,2.07521477e-15,4.42399132e-25,7.96318438e-24,7.16245400e-05,1.43249080e-03
1.40838511e-05,7.00000000e-02,2.20000000e+04,3.67589988e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610514e-04,2.27532616e-03,2.12829956e-06,2.76678942e-05,3.07310775e-11,3.99504007e-10,5.69927418e-05,7.97898385e-04,2.09499444e-07,3.14249166e-06,1.99687313e-19,2.79562238e-18,1.68224682e-13,2.52337023e-12,3.61384737e-04,5.78215579e-03,1.37653790e-07,2.34011443e-06,7.24480504e-07,1.30406491e-05,1.47245270e-13,2.50316959e-12,1.21069976e-16,2.17925958e-15,4.87872180e-25,8.78169923e-24,7.16245400e-05,1.43249080e-03
1.47899717e-05,7.00000000e-02,2.20000000e+04,3.67587127e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610515e-04,2.27532617e-03,2.12829950e-06,2.76678935e-05,3.22718384e-11,4.19533899e-10,5.69927419e-05,7.97898386e-04,2.09497805e-07,3.14246708e-06,2.20212670e-19,3.08297737e-18,1.76658946e-13,2.64988418e-12,3.61384737e-04,5.78215579e-03,1.37653789e-07,2.34011441e-06,7.24479839e-07,1.30406371e-05,1.54627691e-13,2.62867074e-12,1.27140048e-16,2.28852086e-15,5.38019281e-25,9.68434705e-24,7.16245400e-05,1.43249080e-03
1.55314950e-05,7.00000000e-02,2.20000000e+04,3.67584122e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610515e-04,2.27532618e-03,2.12829944e-06,2.76678927e-05,3.38898483e-11,4.40568027e-10,5.69927419e-05,7.97898387e-04,2.09496084e-07,3.14244127e-06,2.42847776e-19,3.39986887e-18,1.85516077e-13,2.78274115e-12,3.61384737e-04,5.78215579e-03,1.37653788e-07,2.34011439e-06,7.24479141e-07,1.30406245e-05,1.62380243e-13,2.76046412e-12,1.33514454e-16,2.40326016e-15,5.93320868e-25,1.06797756e-23,7.16245400e-05,1.43249080e-03
1.63101960e-05,7.00000000e-02,2.20000000e+04,3.67580967e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610516e-04,2.27532619e-03,2.12829938e-06,2.76678919e-05,3.55889802e-11,4.62656742e-10,5.69927420e-05,7.97898388e-04,2.09494277e-07,3.14241416e-06,2.67809489e-19,3.74933284e-18,1.94817277e-13,2.92225915e-12,3.61384737e-04,5.78215579e-03,1.37653786e-07,2.34011436e-06,7.24478407e-07,1.30406113e-05,1.70521483e-13,2.89886522e-12,1.40208452e-16,2.52375214e-15,6.54306758e-25,1.17775216e-23,7.16245400e-05,1.43249080e-03
1.71279386e-05,7.00000000e-02,2.20000000e+04,3.67577654e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610517e-04,2.27532620e-03,2.12829931e-06,2.76678911e-05,3.73733012e-11,4.85852916e-10,5.69927420e-05,7.97898388e-04,2.09492379e-07,3.14238569e-06,2.95336954e-19,4.13471735e-18,2.04584810e-13,3.06877215e-12,3.61384737e-04,5.78215579e-03,1.37653785e-07,2.34011434e-06,7.24477637e-07,1.30405975e-05,1.79070901e-13,3.04420531e-12,1.47238067e-16,2.65028520e-15,7.21561224e-25,1.29881020e-23,7.16245400e-05,1.43249080e-03
1.79866803e-05,7.00000000e-02,2.20000000e+04,3.67574174e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610518e-04,2.27532622e-03,2.12829925e-06,2.76678902e-05,3.92470827e-11,5.10212075e-10,5.69927421e-05,7.97898389e-04,2.09490386e-07,3.14235580e-06,3.25693898e-19,4.55971457e-18,2.14842057e-13,3.22263086e-12,3.61384737e-04,5.78215579e-03,1.37653783e-07,2.34011431e-06,7.24476828e-07,1.30405829e-05,1.88048959e-13,3.19683231e-12,1.54620124e-16,2.78316223e-15,7.95728595e-25,1.43231147e-23,7.16245400e-05,1.43249080e-03
1.88884766e-05,7.00000000e-02,2.20000000e+04,3.67570521e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610519e-04,2.27532623e-03,2.12829917e-06,2.76678893e-05,4.12148097e-11,5.35792526e-10,5.69927421e-05,7.97898390e-04,2.09488294e-07,3.14232440e-06,3.59171156e-19,5.02839618e-18,2.25613571e-13,3.38420357e-12,3.61384737e-04,5.78215579e-03,1.37653781e-07,2.34011428e-06,7.24475979e-07,1.30405676e-05,1.97477150e-13,3.35711154e-12,1.62372295e-16,2.92270130e-15,8.77519430e-25,1.57953497e-23,7.16245400e-05,1.43249080e-03
1.98354862e-05,7.00000000e-02,2.20000000e+04,3.67566684e-03,7.11584059e-01,7.11584059e-01,6.90061265e-02,2.76024506e-01,1.89610520e-04,2.27532624e-03,2.12829910e-06,2.76678883e-05,4.32811924e-11,5.62655502e-10,5.69927422e-05,7.97898391e-04,2.09486096e-07,3.14229144e-06,3.96089458e-19,5.54525241e-18,2.36925135e-13,3.55387702e-12,3.61384737e-04,5.78215579e-03,1.37653780e-07,2.34011425e-06,7.24475087e-07,1.30405516e-05,2.07378040e-13,3.52542668e-12,1.70513135e-16,3.06923643e-15,9.67717322e-25,1.74189118e-23,7.16245400e-05,1.43249080e-03
